trip_count ,duration_sum        ,duration_avg        ,dim_year,dim_month,dim_hour,dim_user                                          
       5922,             9833261,                1660,    2019,        7,      21,Casual Member                                     
         98,               51468,                 525,    2021,        2,       4,Annual Member                                     
       2461,             1807137,                 734,    2021,        2,       8,Annual Member                                     
        450,              615463,                1367,    2021,        2,      13,Casual Member                                     
        143,              148115,                1035,    2021,        2,      22,Casual Member                                     
          9,               10330,                1147,    2021,        2,       5,Casual Member                                     
       3654,             3503339,                 958,    2020,        2,       7,Annual Member                                     
       3509,             2673097,                 761,    2020,        2,      11,Annual Member                                     
        495,              445715,                 900,    2021,       12,       6,Casual Member                                     
        850,              804384,                 946,    2021,       12,      23,Casual Member                                     
        346,              171556,                 495,    2019,        3,       1,Annual Member                                     
        260,              141854,                 545,    2019,        3,       2,Annual Member                                     
        616,             1430242,                2321,    2019,        3,      16,Casual Member                                     
