trip_count ,duration_sum        ,duration_avg        ,dim_year,dim_month,dim_hour,dim_user                                          
-----------,--------------------,--------------------,--------,---------,--------,--------------------------------------------------
       1634,             6144086,                3760,    2020,        3,      14,Casual Member                                     
      10815,             8595838,                 794,    2020,        3,      17,Annual Member                                     
        568,              399099,                 702,    2020,        3,       0,Annual Member                                     
        276,              536825,                1945,    2020,        4,       9,Casual Member                                     
       3376,             2778110,                 822,    2020,        4,      12,Annual Member                                     
       2447,             2068862,                 845,    2020,        5,       7,Annual Member                                     
       3020,             8860919,                2934,    2020,        5,      21,Casual Member                                     
        108,              214426,                1985,    2020,        5,       4,Casual Member                                     
      17100,            12749556,                 745,    2021,        8,      14,Annual Member                                     
      14018,            20246621,                1444,    2021,        8,      15,Casual Member                                     
      28820,            22623954,                 785,    2021,        8,      18,Annual Member                                     
      13016,             8848628,                 679,    2021,        9,       9,Annual Member                                     
       5872,             7731511,                1316,    2021,        9,      10,Casual Member                                     
      16594,            12282073,                 740,    2021,        9,      13,Annual Member                                     
       9201,             6653100,                 723,    2019,        3,       8,Annual Member                                     
       3852,             2348758,                 609,    2019,        3,      12,Annual Member                                     
        143,              172076,                1203,    2019,        3,      22,Casual Member                                     
       5296,             3735654,                 705,    2019,        4,       7,Annual Member                                     
       2361,             3942502,                1669,    2019,        4,      17,Casual Member                                     
        538,              647485,                1203,    2019,        4,      21,Casual Member                                     
        215,              323006,                1502,    2019,        4,       0,Casual Member                                     
        582,              486379,                 835,    2019,        5,       2,Annual Member                                     
       5131,             9008101,                1755,    2019,        5,      16,Casual Member                                     
       2768,             5103139,                1843,    2021,        5,       9,Casual Member                                     
      12757,            26073169,                2043,    2021,        5,      13,Casual Member                                     
        387,              535229,                1383,    2021,        6,       4,Casual Member                                     
       9253,             7173683,                 775,    2021,        6,       7,Annual Member                                     
       1823,             2938312,                1611,    2021,        6,       8,Casual Member                                     
      32353,            27541828,                 851,    2019,        8,      17,Annual Member                                     
      14519,            28186680,                1941,    2019,        8,      18,Casual Member                                     
       9081,             7013675,                 772,    2019,        8,      21,Annual Member                                     
       2622,             1906897,                 727,    2019,        8,       0,Annual Member                                     
       1186,             1977110,                1667,    2019,        8,       1,Casual Member                                     
      19723,            15166259,                 768,    2019,        9,      16,Annual Member                                     
       1073,             1496507,                1394,    2019,       10,       8,Casual Member                                     
       9750,             6558657,                 672,    2022,        7,       7,Annual Member                                     
      10522,            10161497,                 965,    2022,        7,       8,Casual Member                                     
      13955,             9719628,                 696,    2022,        7,      11,Annual Member                                     
      18710,            24250255,                1296,    2022,        7,      12,Casual Member                                     
       1949,             2870731,                1472,    2022,        8,       3,Casual Member                                     
       5153,             3217083,                 624,    2022,        8,       6,Annual Member                                     
       8403,             7679486,                 913,    2022,        8,       7,Casual Member                                     
       7801,             5940899,                 761,    2022,        8,      23,Annual Member                                     
       2028,             1403095,                 691,    2022,        9,       1,Annual Member                                     
       3462,             4646737,                1342,    2022,        9,       2,Casual Member                                     
      19591,            14632980,                 746,    2022,        9,      18,Annual Member                                     
      12883,            12336715,                 957,    2020,        6,      15,Annual Member                                     
      15581,            33068174,                2122,    2020,        6,      16,Casual Member                                     
      17983,            17773264,                 988,    2020,        6,      19,Annual Member                                     
      16437,            31660290,                1926,    2020,        6,      20,Casual Member                                     
       7150,            13225600,                1849,    2020,        7,      11,Casual Member                                     
      14141,            11711975,                 828,    2020,        7,      14,Annual Member                                     
      12573,            22587258,                1796,    2020,        7,      15,Casual Member                                     
        416,             2670666,                6419,    2022,        1,      21,Casual Member                                     
         94,               81883,                 871,    2022,        1,       3,Annual Member                                     
         71,               72205,                1016,    2022,        1,       4,Casual Member                                     
       1506,             1086387,                 721,    2022,        1,       7,Annual Member                                     
        219,              131895,                 602,    2022,        2,       2,Annual Member                                     
         54,               47114,                 872,    2022,        2,       3,Casual Member                                     
       2969,             2397609,                 807,    2022,        2,      19,Annual Member                                     
       2460,             2923669,                1188,    2022,        3,      11,Casual Member                                     
       5473,             3646496,                 666,    2022,        3,      14,Annual Member                                     
        290,              160137,                 552,    2019,        1,       1,Annual Member                                     
         14,               14083,                1005,    2019,        1,       2,Casual Member                                     
       4740,             3483419,                 734,    2019,        1,      18,Annual Member                                     
         84,              108001,                1285,    2019,        1,      19,Casual Member                                     
       2054,             1173627,                 571,    2019,        2,      13,Annual Member                                     
       4806,             4145062,                 862,    2019,        2,      17,Annual Member                                     
       5502,             8353698,                1518,    2020,       10,      13,Casual Member                                     
      17829,            13408739,                 752,    2020,       10,      16,Annual Member                                     
       8968,             6323585,                 705,    2020,       10,      20,Annual Member                                     
       1548,             1575031,                1017,    2020,       11,       8,Casual Member                                     
       7714,             5623375,                 728,    2020,       11,      11,Annual Member                                     
      11532,             9056508,                 785,    2020,       11,      15,Annual Member                                     
      26165,            29742771,                1136,    2022,        6,      13,Casual Member                                     
      10160,             7304991,                 718,    2022,        6,      16,Annual Member                                     
       1812,             1147830,                 633,    2019,       11,      23,Annual Member                                     
       2347,             1486075,                 633,    2019,       11,       6,Annual Member                                     
        366,              983179,                2686,    2019,       11,      20,Casual Member                                     
         42,               79483,                1892,    2019,       11,       3,Casual Member                                     
        531,              318534,                 599,    2019,       12,       1,Annual Member                                     
        452,             1473013,                3258,    2019,       12,      15,Casual Member                                     
       1535,              875315,                 570,    2020,        1,       6,Annual Member                                     
         50,               44636,                 892,    2020,        1,       7,Casual Member                                     
       3889,             3201006,                 823,    2020,        1,      10,Annual Member                                     
        221,              396547,                1794,    2020,        1,      11,Casual Member                                     
       7445,             4979461,                 668,    2021,       10,       8,Annual Member                                     
      21088,            20978148,                 994,    2021,       10,      18,Casual Member                                     
       7039,             6955077,                 988,    2021,       10,      22,Casual Member                                     
        252,              179398,                 711,    2021,       11,       3,Annual Member                                     
      14602,            13431854,                 919,    2021,       11,      17,Casual Member                                     
       3755,             2584684,                 688,    2021,       11,      20,Annual Member                                     
      11396,             9065869,                 795,    2020,        8,       9,Annual Member                                     
       5968,            10272751,                1721,    2020,        8,      10,Casual Member                                     
        564,              401759,                 712,    2020,        9,       4,Annual Member                                     
       9559,             7617764,                 796,    2020,        9,      21,Annual Member                                     
       1031,             1266712,                1228,    2022,        4,       2,Casual Member                                     
       1259,              993413,                 789,    2022,        4,       6,Casual Member                                     
       5748,             3594845,                 625,    2022,        4,       9,Annual Member                                     
       2670,             3500226,                1310,    2022,        4,      23,Casual Member                                     
       2820,             4055379,                1438,    2021,        3,      19,Casual Member                                     
        435,              268546,                 617,    2021,        3,       5,Annual Member                                     
       4731,             3263519,                 689,    2021,        3,       9,Annual Member                                     
       1090,              715173,                 656,    2021,        4,       0,Annual Member                                     
        288,              183649,                 637,    2021,        4,       4,Annual Member                                     
       7166,            14564399,                2032,    2021,        4,      14,Casual Member                                     
       7808,            14655939,                1877,    2021,        4,      18,Casual Member                                     
       4532,             3413544,                 753,    2021,        4,      21,Annual Member                                     
      12876,            11063392,                 859,    2022,       10,      10,Casual Member                                     
       9218,             6150690,                 667,    2022,       10,      13,Annual Member                                     
       1148,             1129559,                 983,    2022,       11,       5,Casual Member                                     
       8201,             5420785,                 660,    2022,       11,       8,Annual Member                                     
       5502,             3477290,                 632,    2022,       11,      12,Annual Member                                     
       6261,             5319898,                 849,    2022,       11,      22,Casual Member                                     
       2008,             1521198,                 757,    2022,       12,       0,Casual Member                                     
        210,              118755,                 565,    2022,       12,       3,Annual Member                                     
      11706,             9528193,                 813,    2022,       12,      17,Casual Member                                     
       2293,             1438212,                 627,    2022,       12,      20,Annual Member                                     
       4622,             3835751,                 829,    2022,       12,      21,Casual Member                                     
       8249,             5408401,                 655,    2019,       10,      11,Annual Member                                     
       1879,             1626810,                 865,    2021,        7,       2,Annual Member                                     
       1104,             2142920,                1941,    2021,        7,       3,Casual Member                                     
      23830,            19575060,                 821,    2021,        7,      19,Annual Member                                     
      14720,            22665302,                1539,    2021,        7,      20,Casual Member                                     
       7480,            10765337,                1439,    2019,        6,      10,Annual Member                                     
       4521,             8861715,                1960,    2019,        6,      11,Casual Member                                     
       1113,             1070627,                 961,    2020,       12,      20,Casual Member                                     
       1085,              732652,                 675,    2020,       12,      23,Annual Member                                     
         55,               42250,                 768,    2020,       12,       3,Casual Member                                     
       5123,             3753672,                 732,    2021,        1,      15,Annual Member                                     
       2512,             2600405,                1035,    2021,        1,      16,Casual Member                                     
       3478,             4410001,                1267,    2022,        5,       1,Casual Member                                     
        442,              310612,                 702,    2022,        5,       4,Annual Member                                     
      34904,            42702776,                1223,    2022,        5,      18,Casual Member                                     
       1329,              856222,                 644,    2019,        7,       5,Annual Member                                     
        419,              724835,                1729,    2019,        7,       6,Casual Member                                     
       6959,             5344913,                 768,    2019,        7,      22,Annual Member                                     
       2919,             5085577,                1742,    2019,        7,      23,Casual Member                                     
       2135,             1506333,                 705,    2021,        2,      10,Annual Member                                     
        204,              260273,                1275,    2021,        2,      11,Casual Member                                     
        389,              495440,                1273,    2020,        2,       5,Annual Member                                     
       1729,             1045529,                 604,    2020,        2,      22,Annual Member                                     
         72,              148674,                2064,    2020,        2,       2,Casual Member                                     
       2454,             2322649,                 946,    2021,       12,      12,Casual Member                                     
       4222,             2676960,                 634,    2020,        1,      14,Annual Member                                     
        357,              192389,                 538,    2020,        2,       1,Annual Member                                     
         18,               16125,                 895,    2020,        2,       6,Casual Member                                     
        856,             2087325,                2438,    2020,        2,      15,Casual Member                                     
       7500,             5010926,                 668,    2020,        2,      18,Annual Member                                     
        772,             1285244,                1664,    2020,        2,      19,Casual Member                                     
        246,              254569,                1034,    2020,        2,      23,Casual Member                                     
        160,              117236,                 732,    2020,        3,       4,Annual Member                                     
       2375,             2180813,                 918,    2020,        3,      21,Annual Member                                     
       9811,             9358094,                 953,    2021,       11,      13,Casual Member                                     
       3805,             2333045,                 613,    2021,       11,       7,Annual Member                                     
       7680,             5839258,                 760,    2021,       11,       9,Casual Member                                     
       5647,             3484411,                 617,    2021,       12,      11,Annual Member                                     
       7941,             5251136,                 661,    2021,       12,      15,Annual Member                                     
       3277,             4765036,                1454,    2021,       12,      16,Casual Member                                     
        571,              448693,                 785,    2022,        1,       8,Casual Member                                     
       2049,             1387416,                 677,    2022,        1,      11,Annual Member                                     
       1944,             1681193,                 864,    2020,        4,       8,Annual Member                                     
       1721,             3845688,                2234,    2020,        4,      13,Casual Member                                     
        777,             2429726,                3127,    2020,        5,       0,Casual Member                                     
      10685,            23243205,                2175,    2020,        5,      17,Casual Member                                     
      12006,             8763127,                 729,    2021,        8,      10,Annual Member                                     
       8208,            11890431,                1448,    2021,        8,      11,Casual Member                                     
       3556,             2562484,                 720,    2021,        9,       0,Annual Member                                     
      28893,            21623075,                 748,    2021,        9,      17,Annual Member                                     
       1851,             1191814,                 643,    2021,       10,       0,Annual Member                                     
        114,               78157,                 685,    2019,        3,       4,Annual Member                                     
        159,              190507,                1198,    2019,        3,       9,Casual Member                                     
        390,              662043,                1697,    2019,        3,      13,Casual Member                                     
       2250,             1474081,                 655,    2019,        3,      21,Annual Member                                     
          6,                3651,                 608,    2019,        3,       5,Casual Member                                     
       4780,             3183603,                 666,    2019,        4,      11,Annual Member                                     
       1830,             3356183,                1833,    2019,        4,      13,Casual Member                                     
       8713,             6359123,                 729,    2019,        5,      15,Annual Member                                     
      10038,             7040279,                 701,    2019,        5,      19,Annual Member                                     
       2404,             4179332,                1738,    2019,        5,      20,Casual Member                                     
         94,              104254,                1109,    2019,        5,       3,Casual Member                                     
      14450,            12602795,                 872,    2021,        5,      12,Annual Member                                     
      19812,            18008566,                 908,    2021,        5,      16,Annual Member                                     
      19000,            35596348,                1873,    2021,        5,      17,Casual Member                                     
       2300,             4447658,                1933,    2021,        5,       0,Casual Member                                     
       3398,             6448778,                1897,    2021,        6,       0,Casual Member                                     
      10762,            18295784,                1700,    2021,        6,      21,Casual Member                                     
       5162,             8422414,                1631,    2019,        8,      22,Casual Member                                     
      12080,             8928550,                 739,    2019,        8,      13,Annual Member                                     
      12026,            21135834,                1757,    2019,        8,      14,Casual Member                                     
        452,              286558,                 633,    2019,        9,       3,Annual Member                                     
      10733,             8632940,                 804,    2019,        9,      20,Annual Member                                     
        393,              243435,                 619,    2019,       10,       3,Annual Member                                     
         85,              151182,                1778,    2019,       10,       4,Casual Member                                     
       8626,             6046226,                 700,    2019,       10,       7,Annual Member                                     
      20349,            26066804,                1280,    2022,        7,      21,Casual Member                                     
       1113,             1442732,                1296,    2022,        7,       4,Casual Member                                     
      18716,            14576465,                 778,    2022,        7,      20,Annual Member                                     
      11057,             7420793,                 671,    2022,        8,      10,Annual Member                                     
      11428,             8032357,                 702,    2022,        9,      14,Annual Member                                     
      26917,            30564815,                1135,    2022,        9,      15,Casual Member                                     
      27644,            32402590,                1172,    2022,        9,      19,Casual Member                                     
        558,             2256381,                4043,    2020,        6,       2,Annual Member                                     
        520,              956812,                1840,    2020,        6,       3,Casual Member                                     
       2409,             2198153,                 912,    2020,        6,       6,Annual Member                                     
       1184,             2542898,                2147,    2020,        6,       7,Casual Member                                     
       3049,             2563355,                 840,    2020,        6,      23,Annual Member                                     
       1914,             2976743,                1555,    2020,        7,       7,Casual Member                                     
      10285,             8234953,                 800,    2020,        7,      10,Annual Member                                     
       2310,             2128823,                 921,    2022,        2,      11,Annual Member                                     
       1296,             2206292,                1702,    2022,        2,      12,Casual Member                                     
       3196,             2061407,                 644,    2022,        2,      15,Annual Member                                     
       1744,             1589063,                 911,    2022,        2,      16,Casual Member                                     
        951,             1256242,                1320,    2022,        2,      20,Casual Member                                     
        790,              468722,                 593,    2022,        3,       1,Annual Member                                     
       8365,             5611164,                 670,    2022,        3,      18,Annual Member                                     
       2567,             1461938,                 569,    2019,        1,      14,Annual Member                                     
        204,              405151,                1986,    2019,        1,      15,Casual Member                                     
        307,              167630,                 546,    2019,        2,       0,Annual Member                                     
         65,               50415,                 775,    2019,        2,       4,Annual Member                                     
       1006,              707539,                 703,    2019,        2,      21,Annual Member                                     
       6458,             4414903,                 683,    2020,       10,       7,Annual Member                                     
        410,              283424,                 691,    2020,       10,       3,Annual Member                                     
       5318,             3791401,                 712,    2020,       11,       7,Annual Member                                     
       4240,             6510442,                1535,    2020,       11,      12,Casual Member                                     
       6716,             9574892,                1425,    2020,       11,      16,Casual Member                                     
      46409,            50287776,                1083,    2022,        6,      17,Casual Member                                     
       7155,             5262913,                 735,    2022,        6,      20,Annual Member                                     
      24219,            27379451,                1130,    2022,        6,      21,Casual Member                                     
       8101,             8783785,                1084,    2022,        6,       0,Casual Member                                     
       6997,             4771477,                 681,    2022,        6,      12,Annual Member                                     
        519,              361203,                 695,    2022,        6,       3,Annual Member                                     
       5336,             3319795,                 622,    2019,       11,      10,Annual Member                                     
        732,             1441136,                1968,    2019,       11,      12,Casual Member                                     
        845,             9657009,               11428,    2019,       11,      16,Casual Member                                     
         47,              123693,                2631,    2019,       12,       2,Casual Member                                     
       4006,             2687754,                 670,    2019,       12,      14,Annual Member                                     
       5979,             4192094,                 701,    2019,       12,      18,Annual Member                                     
       1819,             1447877,                 795,    2019,       12,      22,Annual Member                                     
        278,             3916947,               14089,    2019,       12,      19,Casual Member                                     
       2434,             3448762,                1416,    2021,       10,       1,Casual Member                                     
        313,              185052,                 591,    2021,       10,       4,Annual Member                                     
        939,              682858,                 727,    2021,       10,       5,Casual Member                                     
       9423,             7303197,                 775,    2021,       10,       9,Casual Member                                     
       4682,             3245396,                 693,    2021,       10,      21,Annual Member                                     
      17724,            14139633,                 797,    2020,        8,      13,Annual Member                                     
       3216,             2349777,                 730,    2020,        9,       0,Annual Member                                     
       1628,             2531100,                1554,    2020,        9,       1,Casual Member                                     
        324,              348265,                1074,    2020,        9,       5,Casual Member                                     
      28805,            22793372,                 791,    2020,        9,      17,Annual Member                                     
      17274,            26264186,                1520,    2020,        9,      18,Casual Member                                     
       5474,             7615402,                1391,    2020,        9,      22,Casual Member                                     
        733,              369878,                 504,    2022,        4,       5,Annual Member                                     
       4403,             4669857,                1060,    2022,        4,      10,Casual Member                                     
       3060,             2075962,                 678,    2022,        4,      22,Annual Member                                     
      12059,             9633568,                 798,    2021,        3,      18,Annual Member                                     
       2160,             1683829,                 779,    2021,        3,      22,Annual Member                                     
        465,              642731,                1382,    2021,        3,      23,Casual Member                                     
        450,              288652,                 641,    2021,        3,       1,Annual Member                                     
        102,              189886,                1861,    2021,        3,       2,Casual Member                                     
        114,              185434,                1626,    2021,        3,       6,Casual Member                                     
       6233,             4695240,                 753,    2021,        4,       8,Annual Member                                     
       1710,             3594435,                2102,    2021,        4,      10,Casual Member                                     
       5833,             3916052,                 671,    2022,       10,      21,Annual Member                                     
       7857,             6888625,                 876,    2022,       10,      23,Casual Member                                     
       2565,             1626815,                 634,    2022,       10,       0,Annual Member                                     
      16673,            11880473,                 712,    2022,       10,      17,Annual Member                                     
        301,              178200,                 592,    2022,       11,       4,Annual Member                                     
      10400,             8365782,                 804,    2022,       11,       9,Casual Member                                     
       3681,             2385769,                 648,    2022,       11,      21,Annual Member                                     
       8101,             6603551,                 815,    2022,       12,      13,Casual Member                                     
       3045,             5536603,                1818,    2019,       10,      12,Casual Member                                     
       5091,             3414371,                 670,    2021,        7,       6,Annual Member                                     
       1868,             2506948,                1342,    2021,        7,       7,Casual Member                                     
       7001,             5500260,                 785,    2021,        7,      23,Annual Member                                     
        354,              545394,                1540,    2019,        6,       3,Casual Member                                     
        625,              996118,                1593,    2019,        6,       7,Casual Member                                     
       3624,             2739228,                 755,    2019,        6,      23,Annual Member                                     
       2160,             2398780,                1110,    2020,       12,      16,Casual Member                                     
        897,              699519,                 779,    2021,        1,       8,Casual Member                                     
       3232,             2352004,                 727,    2021,        1,      11,Annual Member                                     
       1733,             1619206,                 934,    2021,        1,      12,Casual Member                                     
      21711,            28459832,                1310,    2022,        5,      14,Casual Member                                     
      17206,            12207399,                 709,    2019,        7,       9,Annual Member                                     
       4197,             7814152,                1861,    2019,        7,      10,Casual Member                                     
      11592,             8534780,                 736,    2019,        7,      13,Annual Member                                     
       3982,             2986735,                 750,    2021,        2,      14,Annual Member                                     
       4456,             3380075,                 758,    2021,        2,      18,Annual Member                                     
       4714,             3667766,                 778,    2020,        3,      14,Annual Member                                     
       7769,             8879522,                1142,    2020,        3,      16,Annual Member                                     
       1765,             1385113,                 784,    2020,        4,       9,Annual Member                                     
       2612,             2134964,                 817,    2020,        4,      11,Annual Member                                     
       3715,             3469889,                 934,    2020,        4,      13,Annual Member                                     
        194,              152116,                 784,    2020,        5,       4,Annual Member                                     
       1270,             1083868,                 853,    2020,        5,       6,Annual Member                                     
       3291,             2692668,                 818,    2020,        5,       8,Annual Member                                     
       1300,             1098616,                 845,    2020,        5,      23,Annual Member                                     
      12906,            19042432,                1475,    2021,        8,      14,Casual Member                                     
      15127,            21848948,                1444,    2021,        8,      16,Casual Member                                     
      28640,            21979082,                 767,    2021,        8,      17,Annual Member                                     
       2130,             1664035,                 781,    2021,        8,       2,Annual Member                                     
      10315,            14923058,                1446,    2021,        8,      12,Casual Member                                     
       2438,             2186013,                 896,    2021,        9,       7,Casual Member                                     
       4699,             5775411,                1229,    2021,        9,       9,Casual Member                                     
       8012,            10986933,                1371,    2021,        9,      11,Casual Member                                     
       3387,             2193440,                 647,    2019,        3,       7,Annual Member                                     
       6723,             4529632,                 673,    2019,        3,       9,Annual Member                                     
        470,              350305,                 745,    2019,        4,       2,Annual Member                                     
        162,             1803749,               11134,    2019,        4,       4,Annual Member                                     
       7499,             5089689,                 678,    2019,        4,      19,Annual Member                                     
        441,              747830,                1695,    2019,        4,      22,Casual Member                                     
        867,              548512,                 632,    2019,        5,       1,Annual Member                                     
      13730,             9928486,                 723,    2019,        5,      16,Annual Member                                     
      11659,             9956720,                 853,    2021,        5,      11,Annual Member                                     
      15482,            13730001,                 886,    2021,        5,      13,Annual Member                                     
      17627,            16263673,                 922,    2021,        5,      15,Annual Member                                     
      12205,             9517142,                 779,    2021,        6,       8,Annual Member                                     
      11935,             9529852,                 798,    2021,        6,      10,Annual Member                                     
        891,             2082661,                2337,    2020,        3,      12,Casual Member                                     
       5318,             4043551,                 760,    2020,        3,      19,Annual Member                                     
        130,              342312,                2633,    2020,        4,       7,Casual Member                                     
        836,             1849610,                2212,    2020,        4,      11,Casual Member                                     
       4046,             3749538,                 926,    2020,        4,      14,Annual Member                                     
        275,             1001390,                3641,    2020,        5,       2,Casual Member                                     
        312,              448193,                1436,    2020,        5,       6,Casual Member                                     
       3185,             2579813,                 809,    2020,        5,       9,Annual Member                                     
       1294,             3337748,                2579,    2020,        5,      23,Casual Member                                     
      22414,            16782885,                 748,    2021,        8,      16,Annual Member                                     
      16823,            23822230,                1416,    2021,        8,      17,Casual Member                                     
       4742,             8360880,                1763,    2021,        8,       0,Casual Member                                     
      14204,            10025715,                 705,    2021,        9,      11,Annual Member                                     
       3453,             2573058,                 745,    2019,        3,      10,Annual Member                                     
         46,               52210,                1135,    2019,        3,       7,Casual Member                                     
        556,              328706,                 591,    2019,        4,       5,Annual Member                                     
       1478,             2169747,                1468,    2019,        4,      19,Casual Member                                     
       2653,             2008495,                 757,    2019,        4,      22,Annual Member                                     
        138,              223352,                1618,    2019,        4,       2,Casual Member                                     
